Count,NewDate,Model,Rating,HelpfulYes,Helpfultotal,Date,UserID,Title,Review
24,XX,B002M782UO,5,0,0,2-Jan-14,A3L6Q3MKETJJY0,Great Christmas Gift,Nice and easy to clean.  Very light and easy to handle.  Like the various sizes for different uses.  Came as described.
25,XX,B002M782UO,1,0,0,1-Jan-14,A2INT1M847U0NN,cute but,"gave it as a gift  mom said it was cute but thinner than expected, she cant use it and that directions said she needed bamboo oil - She cant be bothered &#34;with all that&#34; - As soon as I get it from her I plan to return it  - Hopefully the seller can refund - -I will repost later"
26,XX,B002M782UO,5,0,0,1-Jan-14,A31Q53JB9GJE5T,Love it!,My daughter is moving out and these are great starters for my daughter and you can't beat the price! Value!
27,XX,B002M782UO,5,0,0,31-Dec-13,AMDURHPYNYQU5,Great Gift For My Mom!,"These shipped fast as always from Amazon.  Purchased these for my mom who has some arthritis in her hands so I was trying to get something durable, not too heavy and still looks nice on the counter.  This really fit the bill and she really likes them!"
28,XX,B002M782UO,3,0,0,31-Dec-13,A2W0N9ZERSQC44,Have held up well,These cutting boards have held up well for the last year.  Only complaint is the continue to have a glue smell.
29,XX,B002M782UO,5,0,0,28-Dec-13,A1W0704CQHA7AI,Very durable and you can't beat the price!,"I bought these as a Christmas present for my sister. Our father is a five star chef who cooks all over the world. We grew up in a very nice restaurant learning how to cook from a very young age. Cutting boards have always been a fun thing to buy, and very worth spending large amounts of money on for the larger blocks we traditionally use. However, so many times when we are making finger dinners (cheese, nuts, olives, onions, hot sauce, crackers, etc...) we don't want to use the block boards. Having these three lightweight and very durable boards have been VERY handy and easy to clean and store. Also easy to grab for a quick platter. Very nice cutting boards."
30,XX,B002M782UO,5,0,0,25-Dec-13,AALTRDVGZ7IQI,nice,"I bought these for my mom, and they are great.  they are about 3/8&#34; thick, so not heavy at all."
31,XX,B002M782UO,5,0,0,22-Dec-13,A1MPX8JVJONXV7,Great cutting boards~,"They are heavy duty, without being bulky. Very smooth and nice made. The small one in the pack is perfect for sitting pots on."
32,XX,B002M782UO,5,0,0,19-Dec-13,A1FL1QMKTLA92Q,Totally Bamboo 3-pc Cutting Board Set,I gave them to my stepdaughter for a present last year.  She loves them and uses them all the time.
33,XX,B002M782UO,4,0,0,17-Dec-13,A24TKDOPSNGP4U,Product was broken,"This could be from a combination of things. The item arrived with broken handles. Unfortunately some shipping companies throw boxes on the ground, perhaps bubble wrap may have kept this in tact. It looks like a great item, but I chose a refund as this was an anticipated gift."
34,XX,B002M782UO,5,0,0,17-Dec-13,A1QD92DIRX6WIN,Nice cutting boards,"These are nice, quick to grab boards for small cutting jobs in the kitchen. Their size and variety allow you to avoid cross contamination issues."
35,XX,B002M782UO,5,0,0,14-Dec-13,A3A45ANCZ4KWRR,Beautiful,I bought these cutting boards because they were discounted and I needed some for my new apartment. I think these are lovely. It is quite useful that they come in a set of three and they are pretty enough to store in sight in the kitchen.
37,XX,B002M782UO,2,0,2,12-Dec-13,A1CYT5VSN4XCXF,Cheap and made cheap,"Pros:1. Cheap2. Good size (It came with large, medium and small)Cons:1. You would find lots of bamboo debris after dashwashing."
38,XX,B002M782UO,5,0,0,11-Dec-13,A1AGOQTZCT029D,Will last a good while if properly maintained.,"This is my third time purchasing this product. I got it at a great price for cyber monday ($9.99). The product lasts a while if you hand wash it. If you put it in the dishwasher make sure that rub the wood with olive oil every fifth wash otherwise it tends to warp and then crack in  half. Especially the largest of the three boards, I have never had the small one break on me though, Its always the largest one that goes first then the medium one."
39,XX,B002M782UO,4,1,1,10-Dec-13,A29CJR2LAN3LJ0,Quality product,This product is really great.This is a really inexpensive product that allows you to have a classy looking bamboo cutting board set. This item appears sturdy so far.My one complaint is that other reviewers are correct in that the handle is a bit rough. As one reviewer suggested I may try to rub some oils into the product to soften it.For the price I don't think you can go wrong. This was a lovely product.
40,XX,B002M782UO,1,0,0,9-Dec-13,A7CV9IW821SNI,Waste of money,These cutting boards fell apart at the joints in the handles within a week. I bought a set for us and a set as a gift. Thank goodness I had the chance to try them out first. I'll be returning the set I intended as a gift.
41,XX,B002M782UO,5,0,0,7-Dec-13,A3NYN9V6W1S9TM,Great Cutting Board,ordered this product twice now! One for me and one for a friend! We both love the product and would buy them again!
42,XX,B002M782UO,5,0,0,6-Dec-13,A2HBQEJSDN9PR5,thumbs up,I have had these for a few years now and they are only just showing signs of real wear- and I use them all the time! I would happily get another set!
43,XX,B002M782UO,1,0,0,5-Dec-13,ARDVHTCK7WNN8,Poor quality,"I Bought these boards as part amazon lightinig deals. First of all they are relatively small. So if you need a lot of cutting avoid them, I used them for about 4 months total until the big board started breaking down from the joints. Very poor craftsmanship. Avoid"
44,XX,B002M782UO,1,0,0,5-Dec-13,A33E0P4SH55OL,Came warped out of the box,"Super disappointed.  I bought these as a lightning deal last year, and all three came shipped to me already warped. I would have returned them if I did not have to pay for shipping."
45,XX,B002M782UO,2,0,0,5-Dec-13,A3S1SG40YEJHOC,Not everlasting,"These did not last as long as other cutting boards I've had, they eventually became warped. It is nice to have various sizes, though."
46,XX,B002M782UO,3,1,1,4-Dec-13,ACAXV4V8PBCE3,Difficult to cut on,"I bought these because they were bamboo and I had read that using bamboo was good for the environment. These are light and easy to pick up and move around, stay flat/do not warp, but the grain of the bamboo makes them hard to cut on. The surface has just enough ridging to it that it slows down cutting. I prefer a smooth surface where I am not having to fight  to get things cut.I will eventually get rid of these for plastic or some other wood cutting surface that is smoother."
47,XX,B002M782UO,5,0,0,4-Dec-13,A3LBXTBTG5QE1,"good product, no headaches","I haven't had any problems with these boards and with the abuse they took during our garden season i expected some. I would buy them again, if i ever need too."
48,XX,B002M782UO,1,1,1,3-Dec-13,A2KUK56V5DNZ4X,Poor quality.  Not as described.,"This was one of the worst purchases online.  The cutting boards are grainy, and do hold scents.  It does not provide a smooth cutting surface.  Would not give refund!"
49,XX,B002M782UO,2,0,0,2-Dec-13,A1UFPK8HW2L74Q,Broken in few months,It is broken in few months. All the cuting board got crack in center. Better buy some good cutting board
50,XX,B002M782UO,1,3,3,30-Nov-13,A256FWIURNFGRX,"Pretty, but useless","The cutting boards are very pretty, but functionally useless. The bamboo is untreated, so it peels immediately. As soon as I washed them, they started shedding these little hair-like fibers. It's a shame, since they're a great assortment of sizes and very solid. Unfortunately, they're just not very good quality. I returned them immediately, and would advise against buying them. Spend the extra few bucks and get something better."
51,XX,B002M782UO,5,0,0,29-Nov-13,A1HSQ0TC3PEOEK,Bamboo boards,"I love these cutting boards and use them every day for cutting a variety of things: bread, meats, cheeses, veggies, fruits.  For example, the small size is perfect for lemons and limes, and the big one works well for chopping kale and other leafy greens."
52,XX,B002M782UO,1,0,0,26-Nov-13,A3I43PYBXWCKNW,Unimpressed...returned for a refund!,"Very poor quality and not very big at all...flimsy and cheap feeling, and rough surface, not smooth...would not recommend! I purchased these because my Kyocera knives cannot be used on any surface except wood or rubber type surfaces, but these are terrible!"
53,XX,B002M782UO,5,0,0,24-Nov-13,A4LUWNUOR4DDT,"Finally, a bamboo cutting board that doesn't warp or crack (after 5 months)","I love bamboo cutting boards - they look awesome, they don't tend to dull knife blades as bad as some other hard woods, and they are easy to clean (they don't seem to stain as easily as others I've used).I like the three sizes of this set. The smallest, is really too small for any cutting I could think of, but it works well as a small cheese board. The thickness of these is perfect for me. The are light and easy to handle, but just thick enough that I don't think they are going to break anytime soon.After 5 months of frequent use, they haven't warped, split, or broken in any way (that is typically one problem that I have seen with some bamboo cutting boards - these don't seem to have that issue though). One recommendation with these (or any wood cutting board) would be to oil it with either a cutting board oil product (I use &#34;Butcher's Block&#34;) or just mineral oil (much cheaper, and I've heard, just as effective). It can really extend the life of your boards. I tend to get lazy after a few applications, but even 2-3 seems to make a world of difference in reducing warping and cracking of a cutting board.Definitely going to buy from &#34;Totally Bamboo&#34; again."
54,XX,B002M782UO,5,0,0,20-Nov-13,A1YAYINHENFZ7D,Perfect,"Very pretty wood, very usable sizes, smallest would work to serve fruit cheese and crackers for a small group. You can feel the grain."
55,XX,B002M782UO,5,0,0,18-Nov-13,A36PCFM0B780D2,Nice looking; useful and handy sizes,Nice looking cutting board set in handy and useful sizes.  I bought this as a gift for my mother-in-law to go along with a kitchen knife set we bought for her.
56,XX,B002M782UO,1,0,0,15-Nov-13,A2TXUFDN8R1M6B,nice set but will break,the wood peels and because it is bamboo it will split completely once there is a break somewhere on it.
57,XX,B002M782UO,1,0,0,14-Nov-13,A195OX02RPBBPE,Don't waste your money,These are junk...I have had then for 2 weeks...the largest board is broken at the handle and warped.  The other 2 are discolored and beginning to warp.  I wish I would have invested in higher quality.
58,XX,B002M782UO,5,0,0,13-Nov-13,A31DUP99BVTPNL,These boards are beautiful and practicall indestructible. Very useful,"The small piece is an ideal everyday cutting board, cheese board and food tray. The middlel-sized board is ideal for large foods. The large board serves in my shop as a cutting board for thick leather cutting."
59,XX,B002M782UO,5,0,0,9-Nov-13,A3QG3A7OQ3KLQG,Very durable and attractive.,"Love these cutting boards.  They are so attractive and durable.  The sizes are quite useful.  I hang up the two larger ones, the small one drops easily into a drawer.  I have used them for several months and you cannot even tell they have been used.  Very durable!"
60,XX,B002M782UO,3,1,1,6-Nov-13,A51O22M4A3DY6,Dry Wood,"The boards themselves are fine but they weren't very well conditioned. When they arrived, the wood was really dry around the handles. It's nothing a little mineral oil and beeswax won't fix but I can't imagine that they would hold up very well without being treated."
61,XX,B002M782UO,5,0,0,3-Nov-13,A2Y8W2V8PMXA95,TOTALLY BAMBOO 20-7930 3-PIECE CUTTING BOARD SET,The quality of the cutting boards is very good and the boards are very easy to hold.Thank you.Sarah Rosiak
62,XX,B002M782UO,5,0,0,3-Nov-13,AMBJJUSCRE153,Best cutting boards ever!,This are excellent cutting boards and have held up exceptionally well.  The hard bamboo hasn't shown signs of even the slightest scratch and they've been very easy to clean.  I wouldn't be surprised if they also have anti-microbial qualities to them.  These are probably the best cutting boards we've ever owned!  These boards were well worth the purchase price which was very reasonable.
63,XX,B002M782UO,2,0,0,29-Oct-13,A2YT2TNJIT9LL0,"Smaller than expected, already cracked and food sticks to them",Although size specifications were posted they were smaller than I had expected. One of them has already begun to crack and food has a tendency to stick to them. Stick with plastic or hardwood.
64,XX,B002M782UO,4,0,0,29-Oct-13,A28MZ2V00E69D7,Easy present,My mom has many cutting boards but these are probably the best ones she has.Just doing my part to keep women in the kitchen
65,XX,B002M782UO,4,0,0,27-Oct-13,A23EZSCOP16EY8,I like them,"Light weight, easier to clean than larger boards, and a fair price. Very user friendly, decent value, and I like them."
66,XX,B002M782UO,5,0,0,15-Oct-13,A3Q0U1143BFYTU,Oil Your Wood,I had a cutting board before this.....didn't lube it up enough so I split. I got these and some mineral oil. So far so good. Just keep that wood moist.
67,XX,B002M782UO,4,0,0,13-Oct-13,A2Y68BUZJEX7K9,gift for my brother,My brother is a chef and this is a much used item in his kitchenHe wrote meat on one and veggies on the other.
68,XX,B002M782UO,4,0,0,9-Oct-13,A1OYZ9WBR6L41L,Nice set!,"Not quite as thick as I would like, but look nice and are very functional.  I just usedsome Olive oil on them before use, and only a couple times since."
69,XX,B002M782UO,5,0,0,6-Oct-13,A26U5LJIFKU06Y,Eccellent Small Cutting Boards,I have several very nice large cutting boards in my kitchen but since I will be 90 years old next April I do not always want to walk the approximately sixty feet from my bedroom to my kitchen to use one of those boards.  These small very excellent quality cutting boards serve me very well in my bedroom where I have a table and eat most of my meals.
70,XX,B002M782UO,5,0,0,2-Oct-13,AAFGKZONM97UP,they work great at a great price,"they are great for what they are (small cutting boards). have been using them for over 6 months now and haven't had a problem, and for the price if they only last a year i don't much mind. i don't use the smallest one for much of anything, but that is ok. be sure to oil them with mineral oil or another oil you like once a week for a month when you first get them, then just oil it once a month after that. towl them dry when you clean them and store them in a vertical position. they are thin and i bet they would warp pretty easily if you didn't take care. (and when you oil them you don't need much oil, just a drop or three)."
71,XX,B002M782UO,3,1,1,30-Sep-13,A1MQ7OV7OTUOSD,Has splinters coming out,"This bamboo cutting board set is very useful and handy.  I love it.  The only bad thing is that after the first use, it continues to shed tiny splinters.  I am sort of afraid it might be stuck to food that I cut.  I don't think this cutting board is great for its quality."
72,XX,B002M782UO,5,0,0,26-Sep-13,ACDUL6SJIJSB4,Bamboo Cutting Board Set,"Very light, easy to grab, easy to use, very handy. Very light, easy to grab, easy to use, very handy."
73,XX,B002M782UO,3,1,1,23-Sep-13,A269WG8C9O2B0C,"Worked well, didn't last long.","Great value for being used every day but, eventually, the bamboo on two of the three boards split. The mid sized one spilt in three pieces."
74,XX,B002M782UO,3,0,0,22-Sep-13,A2EI1XM746IDME,Gift for Dad,He wanted these boards and is so happy to have them. To me they are similar to the ones I got at walMart
75,XX,B002M782UO,3,1,1,19-Sep-13,A2V4OPO9LDC8TR,Many mixed pieces,"Im worried it is not very strong, so im taking it extra slow and easy on these.  I wished I had gotten the one with the little grooves on it do the liquid didn't run off the board to the counter top."
76,XX,B002M782UO,1,1,1,18-Sep-13,A2ZTS4D78D8PLO,Inferior quality,"If you wanted quality, look elsewhere. Even with oiling, these thin boards didn't hold up well at all.The best one I've found thus far is a pressed composite board that is very dense and has held up beautifully. If I can find the link I will add it."
77,XX,B002M782UO,1,2,2,17-Sep-13,A2TT6R7C3C4VXI,Very disappointed in these boards,"These boards are about half the thickness of other bamboo boards I have.  They were so lightweight, they slid around on my quartz countertops.  The small board is so small it is unusable -- except maybe for slicing a lemon or a lime.The fault was not Amazon's, it lies with the manufacturer.  I am returning these boards."
78,XX,B002M782UO,1,1,1,12-Sep-13,A2Z7MZP0YSOXFA,not worth the material used to make them,These are great if you are only cutting 1 clove of garlic. They are extremely thin. You get what you pay for.
79,XX,B002M782UO,3,0,0,12-Sep-13,A8Y7WFWFYJTU1,Handle broke and boards warped after time,"They lasted a while and then the handle broke. Thankfully it didn't splinter. Not too sure why it broke because I never dropped it or hit anyone with it. Then after taking the peel off of some oranges, I let it sit in the sink for a day and it warped the board. Maybe wet the board on both sides before cutting things that are super juicy. Also don't let it sit with juice just on one side for the whole day like me."
80,XX,B002M782UO,2,0,0,6-Sep-13,A2YY9H2AKCBZ4T,"Small sizes expected, but not the texture","These boards were the size I was expecting, but they were not sealed.  The bamboo is &#34;hairy&#34;...I can't think of another term.  I know that China is one of the sources of bamboo, but I was really hoping this product was from elsewhere...I really didn't want to sand and then oil treat my new cutting boards.  I don't mind oiling them, as I do with other wooden items I own, but having to finish the product is a little much."
81,XX,B002M782UO,3,0,0,2-Sep-13,A1EX6HW3NPD5T1,You Get What You Pay For,These were nice when I first got them. After about 3 months they started bowing. The smallest cutting board has lasted the longest and has been used the most.
82,XX,B002M782UO,5,0,0,2-Sep-13,A27PLXBFN43ETF,Super nice!,These work great! We love them and they have become our favorite cutting boards to use! Definitely worth what we paid for them!
83,XX,B002M782UO,3,0,0,1-Sep-13,A26L5KW0LDKEVF,"Mediocre Quality, But Nice & Cheap","I've bought these about two years ago, but I only have the big-size one now (which I rarely use). The mid-sized one, which got the most use, badly warped after about 6 months, then completely split in half after about a year. I don't use the cutting boards all that much (maybe 6 times/week) and I always washed by hand in lukewarm water, and always let out to dry--they never sat in water. The little one just split in half today, hence the comment.They look nice at first, but again the quality is awful. If I have to coat them in mineral oil every month, what is the point? I'll just spend $20 more and get some olive wood cutting boards. Which is what I did.I did not have problems with splinters flaking into my food; it wore down a little after a year of use, but nothing I consider abnormal. The real problem was the warping and the splitting apart."
84,XX,B002M782UO,2,1,1,29-Aug-13,A3DH3CLMPWPSLH,bummer,these look great but if you leave them soaking or even are wet for a bit when they dry they start to curve and when completely dry it breaks in the middle only one of the three made it
85,XX,B002M782UO,1,0,0,26-Aug-13,AX3X4S76V1B7F,"Low quality, warped and cracked","They say they're strong, but the handles have broken off two of the three boards and all three are warping after a few hand washings. The boards release splinters that get in my food. Terrible."
86,XX,B002M782UO,2,0,0,25-Aug-13,A2EV8Y91YPN38J,Not worth it for the (unmentioned) maintenance required,"Don't buy these unless you are ok with the upkeep/maintenance you'll need to do that they don't mention upfront.The product description mentions 'Easy to maintain; wash with warm water and occasionally use Totally Bamboo's Revitalizing Oil to extend life and beauty' -- but they don't tell you that you have to do it before first use. If something is required to use a product, it should be included with the product or made clear prior to purchase.The fibers come off in your food or when you try to wash it, and the smell is really bad.I'm going back to low upkeep plastic."
87,XX,B002M782UO,5,0,0,25-Aug-13,A1W7A1KWNVGG4A,"Looks good, works just fine",Bought this for the wife for her birthday.  She really likes them and I think they are nice as well.  Having three allows us to us one for meat and one for vegetables and the smallest one for cheese and lunch meats.
88,XX,B002M782UO,3,0,0,20-Aug-13,A356QRG9TOKQ9,Good for the money,These are not super expensive and they are of adequate quality. I have other cutting boards that I prefer but they are a lot more expensive and thicker than these.
89,XX,B002M782UO,5,0,0,17-Aug-13,A4COINW3V93K,GREAT,Have only used a few times but they are easy to clean and use. Enjoy the different sizes for various jobs at one time.
90,XX,B002M782UO,5,0,0,11-Aug-13,A3P3AOSAPHFA9S,Great set,Was looking for a new set of cutting boards. I read great things about bamboo cutting boards and was surprised to find 3 for a great price. They were slightly smaller than i expected but work and look great.
91,XX,B002M782UO,2,0,0,9-Aug-13,AWBJ428T4ZBY8,You get what you pay for,"My husband and I bought these cutting boards a few months ago, and they were great. Bamboo has a great rputation for holding up well in the kitchen, so we were pleased to find some at a reasonable cost. However, this bamboo doesn't seem to have been treated properly, and they are starting to crack in half from moisture (we have to clean them somehow, right?)."
92,XX,B002M782UO,5,0,0,7-Aug-13,A2PE96WEXBF3KH,bords,oh my goodness i love these bords there different sizes which makes me love them. I recommend these boards to those looking to buy some
93,XX,B002M782UO,5,0,0,1-Aug-13,A2FLUW5K5BOK1F,Quality cutting boards,"These knives are and excellent compliment to the Ginsu Chikara Open Stock Series Knives, and the Ginsu 7108 Chikara 8-piece stainless steel knife set.  I ordered the knives and this set of cutting boards for a friend of mine as a housewarming gift.  He has really enjoy each of these products."
94,XX,B002M782UO,4,0,0,31-Jul-13,A2RXSOAUN9SLWZ,Easy to clean,These cutting boards are easy to clean and look great. I use them for bread and fruit. They are washed with warm water and soap.
95,XX,B002M782UO,5,0,0,30-Jul-13,A18FA22ZM9RYGZ,Awesome addition to the kitch,"Perfect sizes.  We stopped using our other cutting boards after we got these.  We use them almost daily, and they still look great."
96,XX,B002M782UO,5,0,0,20-Jul-13,A1EBGN2PRFMGMZ,Great set!,"I love this set because it presents well, it's easy use and clean, it doesn't chip and it comes very handy with different sizes."
97,XX,B002M782UO,5,0,0,18-Jul-13,A2ETVM09XDOUEA,great cutting boards,I cant believe what great boards these are! I did not expect this great of quality for such little money. Make sure to oil them before use and several times for the first month. I have been using Nutiva coconut oil bought here on Amazon instead of mineral oil. They look great still!
98,XX,B002M782UO,5,0,0,18-Jul-13,A1YLWQTY3WALPV,Great value.,Perfect sizes for different jobs from chopping herbs to slicing onions. I would recommend to all my friends and family.
99,XX,B002M782UO,5,0,0,6-Jul-13,AOVZLK44E4Z5T,There great.,"They arrived quickly and undamaged. Paid a good price for all three. Says not to put in dishwasher but I do. Hasn't damaged mine at all. I really like them.Update: I have had this set for about 8 months now. These are my go to cutting boards in the kitchen. I like them but I should have taken better care of them. I put mine in the dishwasher and have never oiled them. I don't use the smallest one. It just sit in a drawer. It is so small I really don't have a need for it. The two larger ones I use have suffered damage. I believe it is from me putting them through the dishwasher. The large one has warped. The handle has snapped off of both of them. I like them but don't love them. But, they were cheap. It's one of those, you get what you pay for kinda things. If I had hand washed them; I would imagine they would be in better shape. But, once raw chicken touches something...in the dishwasher it goes. I would have to absolutely love something to take the time to hand wash. Not too sure I would buy again."
100,XX,B002M782UO,5,0,0,6-Jul-13,AAFHB3OZN1DPB,Great,"Very good product!Good quality and very light product. So far, no problems. The big table is not as big."
101,XX,B002M782UO,5,0,0,6-Jul-13,A106MNO7PYG1WL,"lightweight, easy to clean, etc.","I was skeptical of using these to replace a bulky regular cutting board. Although I still use the old one (with a channel around it when I'm carving something large and drippy), I typically reach for these little bamboo cutting boards now. They work so well for crackers and cheese, constructing a sandwich, carving an apple, and so forth. Consider that the set looks great at an informal cocktail party. I got the set on sale, so hopefully you'll do the same. Even so, these are helpful and handy."
102,XX,B002M782UO,4,0,0,2-Jul-13,A20HKXJ6HOUJ91,Good Cutting!,At ten bucks for the trio I wasn't expecting much.  They're a little thin but for those minor mincing or paring jobs they're just fine.  I will save the cleavering for the maple block though.
103,XX,B002M782UO,5,0,0,1-Jul-13,A1MVA14BU4YEMR,3 pc Bamboo Cutting Boards,Made a  great Bridal shower gift it looks like one that sells for 4 times the cost of this one.
104,XX,B002M782UO,5,0,0,29-Jun-13,A1X13IRDHOUSGU,Perfect,"Great little set of cutting boards. My wife thinks the little one is super cute, women :). Definitely recommend this set."
105,XX,B002M782UO,4,0,0,29-Jun-13,A353AGGNZL2YP2,Good Value,The cutting boards are good.  Very good.  Just one thing.  I would have liked for the biggest one to have a groove near the edge to hold the juice if I use it to cut or slice a pot roast or other piece of cooked and juicy meat.  I just didn't think to look for that in the picture before buying.  But they are beautiful and lightweight.  I like that.
106,XX,B002M782UO,2,0,0,28-Jun-13,A2N8EWW3X1C8WD,High maintenance required,"I bought these as a gift for my mother several months ago. She was ecstatic to replace her ancient 2'x3' inch thick boards she'd been using for years.  So you can imagine her disappointment when after two weeks of constant use they began to warp and crack.I have never used bamboo cutting boards before, so I was unaware of the care needed (oiling prior to use, maintenance oiling each month, no dishwasher, etc) because there was NOTHING included in the packaging that said so. I only realized the care requirements after looking back at recent reviews on Amazon to see if anyone else had this problem. So, of course, I never passed that knowledge on to her and now she has three ruined boards that she had to toss."
107,XX,B002M782UO,5,0,0,24-Jun-13,AF27KQ730SDUK,A Great Deal!,"Boy, you get your money's worth with these three weell-made bamboo cutting boards. I love bamboo. They're attractive and sturdy."
108,XX,B002M782UO,1,0,0,21-Jun-13,A3QBBGHE1SRD3,What a disappointment,The boards arrived the 'lager' of the 3 boards was split in half. The boards were a lot thinner and smaller than I expected. The quality seems substandard. I sent them back for a refund.
