Count,NewDate,Model,Rating,HelpfulYes,Helpfultotal,Date,UserID,Title,Review,,,
107,XX,B002HWRJY4,1,0,0,26-Apr-11,A2O75PPOMEJ4PA,Bad News,"I tried setting up this router but it refused to recognize my DCHP.  I then spent hours talking to both Netgear and my ISP.  Netgear told me I needed to contact my ISP and get them to bridge the modem to the router.  My ISP told me that was not going to happen.  I then tried to set up the router with an new modem and a different ISP and it still only recognized a static connection.  I returned the router and most likely never buy a Netgear router. I could understand if Netgear admitted that their router was defective, and this would have saved me a lot of time if Netgear would have pointed me in the right direction.",,,
112,XX,B002HWRJY4,1,0,0,24-Apr-11,A1EWHKGUPNUX1T,Piece of garbage,"Thing is a piece of junk.  After 1 month, the 2.4ghz radios started going out and dropping connection frequently.  You'd basically have to reset the thing.  Updated the firmware, and the issue persisted.Netgear's 'fix' was to run the router at it's minimum capabilities, cutting its speed and radio range below the default and pretty much hindering its performance to that of a $30 router.  I tried to get a replacement and they wanted me to send mine back AND CHARGE ME to do it.  Screw that.  I'm getting a different router and selling this one ASAP.DO NOT BUY.",,,
117,XX,B002HWRJY4,1,4,4,21-Apr-11,A5PLTYB1O0Q85,Don't buy! Several bugs on firmware will keep you upset!,"I started using WiFi technology 11 years ago and tried several standards and vendors of this technology, such as DLink, Belkin and Linksys, and always have decent coverage, throughput and features at a reasonable price. Since I entered into the HiDef world I've got a chance to Netgear due the specifications and feedbacks, as well as I assumed that a such priced equipment should perform as announced. But I was wrong. It don't give you decent coverage: my old Pre-N Belkin coveraged all my two story apartment and this one don't. It don't give you throughput: ten feet away and you can't have more than 75 Mbps for the 2.4GHz band and it is impossible to work with the 5GHz band if you far away than 30 feet. The upload and download through the file server is ridiculous and you can't have more than 1.5MBs of upload to the USB drive attached to it. It means that one of the supposed differentiator feature for this router doesn't work and you have terrible experience trying to backup things - it doesn't matter if through wireless or wired connection. Last but not least it don't give you the features it promisses and even a reset button doesn't exist on its management interface. The firmware is deffective and keep losing the 2.4GHz band and DNS forwarding and you have to reset it. Look into Netgear forums e see by yourself what I mean. Those issues are well known by Netgear but they can't issue a new and robust firmware, instead they keep change the name of the router. There are cheaper and better options in the market so keep away.",,,
132,XX,B002HWRJY4,1,0,0,6-Apr-11,AHWD4F28C73IZ,Consider this your warning... If you want hours of pain and frustraiton. BUY this router now.,"I bought this router on the recomendation of my business VOIP provider.  I was having some VOIP problems at work and they suggested I upgrade my router.  I have 10 networked computers and 10 phone lines.  I also bought this for my home.  I have 3 networked computers and Voip phone.I have had two weeks of problems with this router at the office.  Interestingly enough I have had 2 'firmware' upgrades that the router identified that it needed within this period of time, which I think is odd.  I had to call in a network tech to install it because when I tried it wouldn't work.  I am not a techie but I am not a novice at technology issues either.  I do feel comfortable with intermediate technology work.I had to hire another network tech to get it operational.  We are still experiencing connectivity problems and reduced internet speed. total coast at this point as been $850 and that doesn't include all the downtime which in my line of work would add about another $3000 to the current losses.As soon as I set it up at home my printer no longer worked.  As I am writing this i am talking with tech support.  I have been on the phone with three different departments, one of which wanted to charge me to get the thing operationalI have set up no less than 10 other routers, switches and modems in the last 5 years and have never had to call technical support or had this many problems.",,,
133,XX,B002HWRJY4,1,0,0,5-Apr-11,A1CETC0Y4AA5M8,God help you if anything goes wrong with it,"Worked great for three months, then all the wired ports died, and I entered Netgear support hell.  Call the 1-800 number, wait on hold for tech.  Get walked through 'troubleshooting'.  (Basic things like turn it on and off, see what IP address you get, try to ping things.)  Sure enough, it's broken.  Get told you have to call Amazon to exchange it under warranty.  Call Amazon.  They don't know what you're talking about; it's a manufacturer warranty.  Call Netgear back.  Wait on hold for a while.  Give the case number, ask for RMA. They claim to be transferring you, then hang up.  Call back.  Give them the case number.  Apparently they don't bother to record anything, because the new guy says he was to walk you through 'troubleshooting' as well before he can give you an RMA.  Go through the useless troubleshooting again.  Still broken.  Rep claims he'll transfer you to a supervisor.  Spend 15 minutes on hold, then they hang up you.  Call back.  Give case number to another rep.  She can't do anything unless you go through 'troubleshooting'.  Waste another 20 minutes.  Make the mistake of telling them you have a laptop as well, now we have to 'troubleshoot' with the laptop.  Yep, router doesn't work with it either.Have been on phone with one netgear rep or another for 2 solid hours now.  No end in sight.  At this point I'm ready to toss this router into the trash can and go buy anything but a Netgear.",,,
135,XX,B002HWRJY4,1,1,1,1-Apr-11,AIIVVPSMDT237,"Great router, horrible technical support","I love this router but god help you if you need technical support and I would never pay them for technical support. I called under the 90 day free support after purchase period. My router does not display the devices connected to it. It should display all of the wireless and wired devices such as computers and laptops connected to it.First I called and they told me that I did not have a Netgear router because my serial number was not in their database. They implied that Amazon had sold me a refurbished router and the only way I could get support was to pay for it. The person I spoke to was not a native english person and it was almost impossible to understand her. She flatly refused to send me to technical support since she could not find my serial number in her data base. I asked to speak to her supervisor and pretty much got the same answer but finally she admitted that they have a problem with their database and agreed to put me through to technical support. At this point I had been on the phone for 30 1/2 minutes.The L1 technical support person appeared to be from India and after 12 minutes  of talking and one question was what kind of modem do you have. I said that I will have to walk down downstairs to get the manufacturer's name. When I did that and told him the manufacturer, that's all he wanted to know. Didn't need the serial number or anything. So back upstairs to my PC before he said that he would have to talk to his L2 tech support person.He came back and told me that I needed to do a factory reset which deletes all of the password and security, everything in the router and reconfigure it. He also said that the next software upgrade would fix the problem. I said why should I have to reset the router and then have to fully reconfigure my network when they know it is a problem that is currently being worked on. No answer to that one except his L2 person told him that.Best I could tell he understood nothing about computers and was reading a script of questions. I don't think he ever really understood what my question was.Bottom line I like the router, it seems to work well except for the attached devices listing part but I would not recommend purchasing this router unless you are a computer professional who has a lot of patience.I did a Google search for their technical support and CustomerServicesScoreboard.com gives them a bottom of the barrel rating and I agree (304 out of 386). If you don't believe me Google for 'netgear technical service sucks' and see how many hits you get.Total time out of my life: Almost an hour! Good thing I wasn't paying by the minute.",,,
155,XX,B002HWRJY4,1,8,8,19-Mar-11,A3L6FR87VUKWYK,Watch out if you have WNDR3700v2,Purchased this and set it up. Very easy. Great product till I tried to setup Parental controls. I had to use their CD to set up Live Parental Controls. However it would not let me set this up stating Live Parental Controls were not supported by this router. Looked at their website and it states WNDR3700 supports it. Does not state WNDR3700v2 does not support it. It was only after placing a call to Tech Support that I find out this feature is not supported in their latest version that gets shipped. They asked me to go to the earlier version WNDR3700v1.The challenge is this:The version number is on the CD and not on the box. So you have to buy the product open it and then open the CD to find out what version you have. Thank goodness I bought it at Costco so I am returning it. Netgear does not know when they will have a fix for the Parental Controls for the latest version available. Now why does a company knowingly sell a product and advertise that the features are available when they do not even have a scheduled fix for the issues? Why bother with the customer aggravation and distaste left with the customer? This is beyond me.Having proper parental controls is very important to me with kids in the home. Only Live Parental Controls will let you do the combination of :1. Deny access to websites AND2. Restrict access to websites based on time of day (eg no Facebook when kids are supposed to be doing homework).So Netgear sorry but I have to return your product and hopefully next time you will not release a home use product without keeping in mind that parents amongst others buy home based products.Did not try any other features if they worked properly or not since it did not have the one most important feature I wanted - Parental controls.Otherwise this product seemed great in terms of the features it has (untested by me),,,
156,XX,B002HWRJY4,1,2,2,18-Mar-11,A366F846OH62LO,Read this before you buy major flaw in this product,"Pros: fast hardware, easy to setup, no installation CD necessary, increases internet speed, good range when it was working.Cons: it will lose connection and from then on the wireless connection on all bands will have a short range, like 1m or less. I've gone through 2 of these routers at Best Buy and Amazon, same thing. Even the new v2 has this problem. You don't know when it will crop up but when it does you'll know it.For that reason alone DO NOT BUY! Wait until they figure this out at Netgear. Or skip this product since its high in price for this kind of flaw. Check the forums at NETGEAR if you don't believe me. This is a 130$ paperweight.",,,
168,XX,B002HWRJY4,1,1,1,27-Feb-11,A2LS3G4EMLGBXC,Died too soon,"Purchased in June 2010. Stopped working in February 2011. Great product when it works, but eight months makes it horribly expensive. If you're going to buy this, buy two at a time..... March 1, 2011: received reply from Netgear technical support telling me to do all the normal things that one would do BEFORE asking for technical support. So I would say that their technical support does not exist. Bad product with no support.",,,
171,XX,B002HWRJY4,1,0,0,24-Feb-11,AZL24AYJ6GEAT,Firmware Nightmare... you have been warned!,"Terrible firmware! Seem like they shipped this router out during development! It is ok if you are NOT... I repeat NOT going to do anything fancy like port forwarding or tiggering, and if this is the case you are way better off getting a router that is less than 100 bucks. I run a web server and it will block all incoming traffic after a while. If you are going to use this router to just surf the web then you are going to be OK with this unit. The firmware is sooo shotty that they already have like 4 or 5 different versions of it out, and the worst part is that non of them work properly anyway ( I downloaded all of them ).  I went with what I had before a linksys(cisco) router and I no longer have any problems! If you are looking to buy this I totally recommend the linksys e3000 instead!",,,
172,XX,B002HWRJY4,1,1,1,10-Jan-14,A21P59DVKET9O8,Poor performance,The range is only about 12' on a consistent basis. I bought it to replace a less expensive router which turned out to out perform this new one.,,,
182,XX,B002HWRJY4,1,1,1,7-Jan-14,A303Y831K1QH2P,Very weak radio transmitter,"I was getting about 2 bars when I was sitting right next to it.I also tried ddwrt, and openwrt on this. (restored the factory firmware).It seems like, overall, this is a nice wifi router, in general. But my particular unit had a weak radio.  I was forced to return it.",,,
189,XX,B002HWRJY4,1,0,0,23-Feb-11,A3338FY8R7572,disapointment,"lasted 8 weeks, 3 weeks after I bought it the wireless quit and 8 weeks later port 1 is gone.",,,
191,XX,B002HWRJY4,1,0,0,22-Feb-11,A19YX5QKUAXKI6,Basically only has a 90 day warranty,"Worked great for the 3 1/2 months.  Easy to set up. Had great range.  Then we starting losing wireless signal, ocassionally, then we had none.  You can literally sit a laptop right next to this unit and the signal is unavailable.  Their tech support is a joke.  They outsoure their tech support for the first 90 days and after that they out-souce it again and want you to pay for their 'premium support' even though you went thru the e-mail support and have a claim # and an e-mail saying you have a defective unit that is still under warranty (they won't give you an RMA via e-mail you have to call) good luck getting to a person who can help you.  You call the first phone # - they give you another #, there isn't a phone option for requesting a RMA so you have to pick and choose - they transfer you to another #, then got disconnected and got to start all over again.",,,
199,XX,B002HWRJY4,1,0,0,16-Feb-11,A10M5W9588TTLM,Flawed product,"This is the first time I've written a review for an item, sad to say..it's because it's a terrible item and I feel like some people need to be warned about it.The router was great...when it worked or when it feels like working I guess.  The WNDR3700 router constantly drops signal, cannot even give proper wifi speeds to anything (i.e ipad, iphone, xbox 360 etc...) it's very frustrating and extremely unusable.To be honest I'm surprised that there are so many people posting great reviews for this...I've tried to contact Netgear for help, but I had to leave a voice mail, after being put on hold for 30 mins???  Who does that?  I've never had happen to me, ever...also they've yet to return my call about the issue (3 weeks ago).  I tried the forums, next to no help there, besides 'power cycle modem and router'...Not really much to say about it besides that...I've switched back to my 5 year old linksys router...and it's still giving faster Wi-Fi speeds than the WNDR3700...very sad.  Also tried to do a firmware update, but router was already running latest firmware.  From what most other customers who've bought the item say on forums it's because of interference from other signals and such so I've also tried to switch channels and double check settings, but no help.Pros :+ easy installCons :- Terrible Wi-fi speeds- Constant signal drops*This review was meant to be short and to the point.",,,
205,XX,B002HWRJY4,1,4,4,12-Feb-11,AWDR50W44VTW9,Flawed Hardware,I have been a long time Netgear fan I started with my first one being the MR814 a wireless B router which was amazing for the time.Solid performance and great security features well before the other companies like mac address filtering.  The interface over the years has not really changed features added but by far the most easy to use and understand of the routers out there.That being said I had read reports that this router may have hardware issues in REV 1.  that was when it was originally called WNDR-3700.When I saw the name change to N600 I assumed this was the REV 2 that resolved some of the issues but it was up in the air as to whether or not it was still suspect.Well when this unit arrived labeled as N600 I quickly found out it was still REV 1.  Now I still dont know if REV 2 truly fixes the issue but here is what I tested and determined.Throughput of this device was atrocious on wireless and very suspect on wired.  With my old Netgear WNDR-3500 my Gig Nic Performance was great.  Id get a burst of 130 MB / a sec off my RAIDed archive server and it would settle down to about 70 MB/sec for the duration of the transfer.  This is honestly great performance which is what I expected but the new router WNDR-3700/n600 only started at 90 MB/sec and quickly dropped to the 40 MB/sec area and in some cases the transfers PAUSED then resumed.  This had me highly suspicious as to whether data would be getting corrupted.  I also bought an E3000 from linksys to test and saw that the perf on that was identical to my original router on the wired so it did point out an issue on the netgear n600.Now the BIG ISSUE was the wireless the highest through put I got off that wireless was 4 MB/sec.  Well my old router the 3500 was no great performer either similar in speed but I expected a high performance router to welll ..... perform better.At times I noticed transfers of only 500 KB / sec when doing sustained transfers on my local network.  This was completely unacceptable since I bought this strictly for my media center extenders since the 3500 had issues sustaining HD quality network traffic.  I then set up the E3000 for identical through put tests and was able to tweak that router to delivering 20 MB/s sustained over the 2.4GHZ wireless.  This was a huge differance in bandwidth.I am very upset about this because I didnt really want to go with linksys but the bandwidth of the n600 is a problem similar to all the reports on their forums and other sites.  I guess its a crap shoot if it works or not.I will say this if they can fix those Issues I ll buy one in a second as the WIRELESS signal strength was truly amazing it has to be the strongest router i have ever seen when it comes to signal.I already am prepared to give my e3000 away for when netgear gets their act together.Keep in mind this I flashed it with the most recent firmware and it still functioned the same.  I also used DD-WRT on it and the router performance stayed the same so this is completely hardware based.  I can see if you only use the router to surf the internet that you would think this is the most amazing router because the signal can literally penetrate two houses away but even then it at times hampered my 8 Mbit connection.,,,
213,XX,B002HWRJY4,1,0,0,6-Feb-11,A170HR0QF4F975,Does not work: Tech support can't make it work either,"I replaced a old (NEATGEAR) router with this product.  I could connect things up and get a wired connection.  I could not get anything in the house to see the router wirelessly.  I called there tech support and went through many settings all of which did not work.  My tech speaks english as a second laugange which made things go very slow (what?/what?/what?).  I personly feel the tech did not know much about the windows 7 operating system so I didn't think we even troubled shot if it was a network setting issue.  A long time later the tech advise me to return the router, which I will.  I put back my old router and yes virgina a get a wired connection but now nothing sees the wireless connection which worked before. So I will return this now and again later for a refund when no one can tell how to configure it and then go Ill go to BEST BUY and purchase it and then pay someone to connect it correctly.  Generaly it is easy to connect, hard to configure and understand what all the setting are and there relationship to why things are not working. In the mean time I will start looking at other products which maybe easer to use.",,,
235,XX,B002HWRJY4,1,1,2,26-Jan-11,A143M6I8HBVXI5,Horriable Random Lag,"This is the worst router in the world. I get random horrible lag...sometimes in the worst of times(ie when I buy something and the page won't load so I have to refresh). I'm using the stock firmware. I don't care if DD-WRT is better, I believe the router should work and be functional first with it's firmware. I wish companies like this would have better quality control...even if it is just a firmware issue.",,,
242,XX,B002HWRJY4,1,3,4,20-Jan-11,A1COX70PPVL2TF,Lasted a week,Short and sweet: This router's wireless G connection lasted a week then completely died. The N connection never worked. Very disappointing. Amazon was wonderful on the return.,,,
255,XX,B002HWRJY4,1,11,11,13-Jan-11,A2AYVHUEAYAQHB,WNDR3700 is Evil,"First let me say that I cannot argue with the speed of this router.  It is without question the fastest router I have ever owned.  Having said that, the number of issues I have have had with the hardware and firmware for this router are just not worth the price.  This is an expensive router so set your expectations accordingly.  Be prepared for Tech Support looking to get rid of you telling you it's a PC, printer setup issue and not the router.  Be prepared to have issues fixed as new firmware comes out and all of the sudden your other hardware is functional again.  Prepare yourself for loosing your internet connection periodically for seconds at a time.  And prepare yourself for a product that just fails to deliver on all levels of quality.  Yes this router is feature rich, yes it's speed is crazy but is it worth the trouble?  I'm on my third one and about to call three strikes.  I wish you better luck.",,,
260,XX,B002HWRJY4,1,7,7,8-Jan-11,A2Y1OWRJVNR9IH,"No Software Updates, Horrible Customer Service""""","I purchased this router 4 1/2 months ago.  The cost was higher than most, but the offered benefits seemed to warrant the additional cost.  Fortunately, I have a wireless connection that allows me to access the web from my laptop while in different rooms of my house, but that's where the product benefits stop.  I am no longer able to use the readyshare option (that stopped working after about a month) and I get constant error messages with regards to an internet connection, even though I am connected.  I tried updating the firmware from the Netgear website, hoping that would solve these issues, but I kept receiving error messages with that as well.  I called tech support, which provided no help whatsoever.  I was told that the firmware that was installed with initial setup is flawed and the additional 'support' that's been put out is also flawed, so it was removed from the company website.  I was told I would continue to receive the errors and not be able to fully use my product until the engineers at Netgear are able to put out a product that doesn't have these fundamental flaws, even though I was reporting additional problems that weren't listed on the support website.  When I pointed out that I paid for product features and services that I am not getting, and have not gotten for quite some time, I was told, in very poor, broken English, that Netgear only has to provide support for 90 days, and that essentially I was lucky I was even getting the information I was.  I have serious issue with a company that sells a product that does not function as indicated in the product specs.  I was also told by tech support that the engineers are 'well aware' of the problem and 'have been working on it.'  Considering the length of time these issues have been occurring, I have little confidence that a true resolution will ever be rolled out.  I will never buy Netgear in the future and rank their customer service as some of the worst.",,,
262,XX,B002HWRJY4,1,6,7,5-Jan-11,A1EG7SMIOIBXYF,Poor software quality control,"[...]The most recent revision of the firmware for this product (**6.98) has known problems with constantly dropping connections.  Next firmware update not expect until Q2 2011 according to the forum post above.  I didn't investigate much further than that.I think it's pathetic for a company to release firmware which has such an obvious flaw that end users are able to find it and post about it within 4 days of the firmware release, particularly when the problem IS THAT THE ROUTER DROPS THE NETWORK CONNECTION EVERY MINUTE.  I will not be purchasing any netgear products in the future, as their testing and QA are clearly sub par.Other than not being able to maintain a network connection, this network router worked great.UPDATE: 1/22/2011:  I decided to live without simultaneous dual-band, and got a DIR-655 which I operate at 2.4 ghz.  It is stable and meets my needs.",,,
263,XX,B002HWRJY4,1,1,3,5-Jan-11,A3DRQM4YFN6M8O,It has all the features I'm looking for but......,"I bought WNDR 3700 to upgrade my 7 year old but very reliable D-Link DI-624. This is one product that is suppose to be the flagship router of Netgear. It has all the bells and whistles and every features you would like in a router. Long range, gigabit, dual band, advance security features, USB for NAS and guest access. The only problem is, It won't connect to any of my wireless devices (laptop, desktop, phone, PDA, Kindle or gaming console).  I spent days trying to make it work because I really want to keep this router.  I failed on this one. I installed many routers for friends, relatives and my own,  This is the only one that is either defective or just plain garbage.  I did some research and found out that many people had problem with this model. I returned it and will try my luck on the WNDR 37AV also by Netgear.  I hope that one works fine.  For now, I'm back to using my old reliable DI-624.",,,
269,XX,B002HWRJY4,1,1,4,3-Jan-11,A2M9SWRFUJ4NHQ,"Nice looking unit, not so great router","I don't often write reviews on things I buy but I felt the need to write a review on this terrible failure of a router.  I purchased this router based on different reviews I've read on the internet.  My previous router was a DLink DIR-825.  I'm not a long worded person so here are the facts.Pros- This router is great to look at.  The styling is better than any other in the category.- It is easy for a novice to master.  The thing basically configures itself on first power up which is cool if you don't know what you're doing.- Web interface is also easy and concise.- Cables included appears to be high quality.Cons- Web interface is extremely slow.  Every time you make a small change to the router it takes forever to return to the main page.- DHCP Reservation doesn't work at all.  I commonly set up a DHCP reservation list.  It is often easier than setting all your devices up as static.  Problem is this router often has trouble releasing the device after you have set the reservation IP address and the device keeps grabbing the dynamic address it had.  Very annoying to cycle power on the router before it accepts the reservation list.- NO REMOTE REBOOT!!!!  WTF is that?  You can not reset this unit remotely.  Every single router I've owned for 10 years now has had a remote reboot.  Unbelievable!- It has a feature called 'attached devices'.  This is great if you want to see what computers are currently attached.  Problem is it is terribly unreliable which makes it useless.  Half the time it works and displays the computers that are connected properly the other half of the time it shows some of the computers and just displays &lt;unknown> as the computer name.  This makes it hard to reserve IP's if you don't know the computers named.- The 5Ghz has virtually no range!  I had a Netgear WNDA3100 USB WIFI stick which is Netgear's high end, high speed stick.  Wouldn't even connect to the router that has 10 feet away through one drywall wall!- The cost is VERY high for the limited 'advanced' features this router has.Conclusion?I had a netgear hardwired router about 8 years ago and swore I'd never own another netgear product.  Based on the reviews I thought I'd give them another chance.  WHAT A MISTAKE!!  If you don't know or care about any 'advanced' settings on a router and just want a standard DHCP for your home, I guess this would fit the bill but for the cost, it seems to me to be a rip off.  Netgear should be ashamed at this product!  The ONLY way I could stabilize this POS was to switch all devices to static IP.  This is a PITA for something that is supposed to be easy.",,,
271,XX,B002HWRJY4,1,1,3,2-Jan-11,A5VTH7VLPNNCF,NetGear WNDR3700 simply defective,"No problems setting up the NetGear WNDR3700 initially. I'm very familiar with this process on other routers. After a few hours the NetGear WNDR3700 went offline, amber light, and through various attempts cannot connect wirelessly, via cable, update firmware or even reset default factory settings to troubleshoot issues with the router. Maybe the router is defective as I've exhausted all troubleshooting options. Offshore customer support in India hung-up various times and other times put me on hold for long periods. Am returning it to BestBuy for a refund.",,,
272,XX,B002HWRJY4,1,1,4,1-Jan-11,AV51EGSG4EFV5,Don't get this unless you love to type,"Negatives1) When configuring the device, or changing practically anything the device asks for the password CONSTANTLY, not just to log in, but for operations on the menu afterwards. All the while, the password is transmitted in the clear on the LAN. So, on the one hand they are so serious about security that the device doesn't trust that the person who logged on 4 seconds ago hasn't been pushed out of the chair by bad guys, but they completely trust the LAN so it's all a big joke anyway. A little balance would have gone a long way when designing this device.2) Forget anything you've heard about spread spectrum or frequency hopping. Pick up a wireless phone and this thing is DEAD until the call ends.PositiveIt has a seperate WiFi lan for a DMZ, which is nice for a consumer grade device.",,,
276,XX,B002HWRJY4,1,0,10,28-Dec-10,A23IF4B2YN408D,"Works fine, but setup was atrocious.","The router seems to work fine, BUT: the setup was a totally atrocious mess.  Although Netgear recommends this product for 'Large homes' with 'multiple floors,' the cable that is required for connecting the PC to the router during the setup is all of 4ft long!  If the router is for a large home, couldn't the engineers at Netgear have surmised that the distance between the modem/router location and the PC might be more than 4ft, and have included a longer ethernet cable?!  Even in a 'small home,' this distance might exceed 4ft.  In a rather insulting way, the instructions assume that you are connecting a laptop to the router, and hence you should have no probelm bringing the PC to the router and using the dwarf-length ethernet cord ... but perhaps Netgear is aware that there is another category of PCs known as 'desktops' that are NOT easy to transport around a 'large home?'Moving on, the software on the CD runs extremely slowly and is geared towards Windows XP only.  Of course, Windows 7 has been out and about for months and months.  Surely Netgear could have made the minor effort of writing a CD setup for this not uncommon version of Windows?",,,
289,XX,B002HWRJY4,1,1,2,2-Jan-14,AGTHMSYW2GZH1,"2nd chance, no more after","I've had bad experience with netgear product before,6month ago, my Dlink router died on me after only 2 years, so i decided to try a different major brand router and went with netgear again.After 6 month, on the first day of 2014, it died, and it didn't just died, it died fabulously with the lights on.I thought it was my modem first but i plug ethernet directly from pc to modem and i have internet access, so yes, it is the routerFiled a ticket online, lack of response, called them, automated system lacks options for you to choose from, and it doesn't tell u how long the wait time is.  When i finally got to an agent, guess what, Netgear doesn't refund, they would only exchange - why would i want more of your product?terrible experience",,,
299,XX,B002HWRJY4,1,0,0,1-Jan-14,A21RVZD7D8O5B2,NOT AT ALL WHAT IS ADVERTISED!,"First of all this had no installation instructions!Second, once I was finally able to get connected we do not get uninterrupted video streaming to our tv, we have Charter 30MBPS speed!Third, I downloaded the Netgear Genie and according to that my router does not have Guest Access as advertised, it also does not have ReadyShare access as advertised.Tried contacting Netgear for support and was told that because it is refurbished they cannot help us!More than likely going to return it and buy something else!",,,
