Count,NewDate,Model,Rating,HelpfulYes,Helpfultotal,Date,UserID,Title,Review,
23,XX,B005O55U2Y,4,0,0,8-Feb-14,A3434L0OWZQUC,Got a defect product but good refund service!!,"The product functions are matched with what I needed.  However, one major function (ADF - auto document feeder) does not work.  This means you could not do a batch copy/scan/fax..  So, decide to return the product.  Then, found out the return process is very simple and actually got full refund..  So, I give a good rating in turn of product and service provided by Amazon.  Will continue to buy product from Amazon in this case!!",
24,XX,B005O55U2Y,1,0,2,8-Feb-14,A7AMWB82PCH9L,Had to send back.,Found that buying used is not the way to go.  Plus it doesn't come withwindows 8 software although it is downloadable.,
25,XX,B005O55U2Y,5,1,1,8-Feb-14,A3M9KDI4CM058H,amazing,"I have been using this printer for the last three months, and I have been pleasantly surprised with how much it does, at such reasonable price. The print/scan/copy quality is quite good. I really like the Apps functionality. I routinely use coloring/arts and crafts apps to print stuff for my kids, who really love this printer too! The duplex printing and scanning works really well too.On the negative side: when the paper supply is low, the printer sometimes will draw more than one page to print a sheet. This obviously messes up the printout. Another slightly negative thing is the accuracy of the touchpad. If you're used to the touch accuracy of and iPhone, you may be annoyed. I'm used to it now though.",
26,XX,B005O55U2Y,3,0,0,8-Feb-14,A3DLBWQREOR8SG,Wireless Not So Much...,"We have had this printer for around a year and a half.  Last June, the wireless connectivity became a huge problem.  Sometimes it would be connected but the computer wouldn't see it.  Other times, it wasn't connected at all.  And occasionally, things printed!  We spent hours researching and troubleshooting, and found a work-around.  Generally, when the printer initially boots (for me, at least), it is connected for about 15 minutes, so I try to keep it shut down unless I need it.  When I do need it and it has been in standby mode for a length of time, I bring it up, shut it off, wait a few minutes, boot it back up, and viola!  The stinkin thing works!I love this printer other than having this problem.  The print quality is great, and it's versatile.  I love being able to print pictures from it, as well as copy and scan.  The wireless problem is a huge 2-star discount though: our initial plan was to get a printer with wireless so we could hide it away somewhere and no have a large chunk of desk space obliterated.  FAIL!  It takes up a good amount of desk space, and if I ever want to print from my phone, I may as well be at the computer, because I have to sit beside it while I do the reboot.On a positive note, at least it works after a year and a half!  Our last one was a Lexmark that died 3 days out of warranty!",
27,XX,B005O55U2Y,4,0,0,7-Feb-14,A3D6CR0ZY7XR0E,Very nice!,"This printer does so much more than I thought a printer could do. I do not see myself using all the features, but it is nice to know I have them. So far this printer has no problems and works great.",
28,XX,B005O55U2Y,5,1,1,6-Feb-14,A34CUSOFPNGOH0,"Huge in size, but exceeds in every way","All the reviews are clear about this being a big printer.  Its look is imposing, but the footprint is barely larger than the Lexmark Pro it replaced. It's tall but that's because it has an awesome Auto Feed, and it was do double-sided scans.  Huge time-saver.  The print speed is incredible in B&W, and not much slower for Color.  The color copy quality is excellent.  Haven't printed photos - but would be surprised if it wasn't at the same quality as the rest of the functions.  Being able to print, fax and email from your mobile devices is such a bonus.",
29,XX,B005O55U2Y,5,0,0,6-Feb-14,A1EGW4KTV1C18K,Legit,works so far. had it for 3 days and has worked just fine. haven't tried the twin side printing yet!,
30,XX,B005O55U2Y,1,1,1,3-Feb-14,A1GAQRT4ZR2CR7,Starts great. Breaks quickly,I was very happy with the 8600 for about a year then it fell apart and HP customer service was horrible. Lines appeared on the scanner and every solution online didn't work. The &#34;pick up motor&#34; failed making the printer inoperable (google &#34;HP 8600 pick up motor&#34; and you'll find enough heartache to avoid buying this machine). This is a one-year printer and then it will need replacing.,
31,XX,B005O55U2Y,4,1,2,1-Feb-14,AIVGHFRE1YCLM,GOOD PRINTER,"I'M A HOME USER THAT TRIES 2 OTHER PRINTERS BEFORE THIS, (which I returned)). AN EPSON WHICH WOULDNT COMMUNICATE WITH MY CP, (after 2 hrs on the phone the teck told me I had a windows issue), AN A BROTHER WHICH WAS MORE EXPENSIVE THAN THIS BUT KEPT BLOWING THE 11 AMP ELECTRIC BREAKER. I HAD A FRIEND WITH ME TO HELP SET IT UP AS MY EYESIGHT ISN'T WHAT IT USED TO BE.AFTER PLUCGGING IT IN THE SMART INSTALL TOOK OVER AND WE BOTH WERE AMAXZED AT HOW THE PRINTER WAS DOING THE ENTRE INSTALL WITHOUT US HAVING TO PUT THE SOFTWARE DISK, (included),IN THE PC TO LOAD. THO ONLY INPUT NEEDED ARE THE PERSONAL SET-UP SETTINGS FOR FAX AND PRINTING. (paper size, orientation, etc), IT SEEMS COMPLICATED TO USE AT FIRST BUT IT' ACTUALLY PRETTY INTUITIVE. JUST A LITTLE HANDS ON AND YOU'RE READY TO GO. I GOT A PAPER JAM ONCE, (which was my fault because I didn't properly align the paper in the adf), BUT IT CLEARED EASILY. JUST LIFT UP THE ADF AS IF YOU WERE SCANNING FROM THE GLASS AND ON THE BOTTOM OF THE ADF IS THE JAMMED PAPER WHICH YOU JUST PULL OUT.FIRST COPY OUT, FROM SLEEP MODE, TAKES ABOUT 12 SECONDS WHICH IS SLOW, ( i had a canon that did it in just over 4 sec), BUT AFTER THAT THEY SHOOT OUT ABOUT EVERY 2 SECONDS. IT IS NOISER THAN MY OLD CANON AND I WOULD RATHER HAVE A ;IGHTER COLOR, (ivory or light gray), BUT MOST NEW PRINTERS ARE DARKER IN COLOR. SOME PEOPLE COMPLAINED THAT IT WAS FLIMSY. I DON' FIND IT THAT WAY. IT'S SOIDLY CONSTRUCTED. I ONLY HAD IT FOR A WEEK AND ALL'S WELL SO FAR.",
32,XX,B005O55U2Y,2,0,0,1-Feb-14,A1JNM224HBUXG9,I'm torn,"It seems to work ok now but the first few days were a painful. The yellow starter cartridge had leaked out in the original packaging. I had it all over me, my clothes and the counter. The next day I purchased a new yellow cartridge. I installed it and then tried to set it up. The setup failed because I wasn't using the startup cartridge. I won't bore you with the rest but getting it going was painful. However, now that we have been able to use it for the last week we really like it. Only issue now is when we try to use eprint it's hit or miss as to if it is 'found'",
33,XX,B005O55U2Y,5,0,0,1-Feb-14,A2ADEKB4LBVW3W,huge step forward,"I had a predecessor printer from HP which is about five years old.  This one is faster, smoother and more capable.  Better in every way I can think of.  I'd have to recommend it.",
34,XX,B005O55U2Y,5,0,0,31-Jan-14,A3E44U3ZA53NC0,Great Quality Printer,"I've had a wide variety of printers and multi-function machines over the years at my office, and this has been the best by a wide margin. If there is any down side, it would be the size (it's simply not a compact, space-saver machine). That said, it's nothing I'd hold against it, as it does exactly what it says and I've had no issues with it at all. It is also very frugal with ink (better than many I've had in the past), and the quality of the scans is excellent (it even makes good use of the file size to generate a good quality scanned image).",
35,XX,B005O55U2Y,5,0,0,30-Jan-14,A2TKPGJ9Y88YKG,THIS IS THE BEST PRINTER I'VE HAD.,The color is very sharp and I love the fact that it connects to the computer wirelessly.  I can have the printer in a separate location from where the computer is in case my desk is getting full.,
36,XX,B005O55U2Y,5,1,1,29-Jan-14,A5WJ8ODDXC3YN,Hidden little gem of a workhorse,"Look up how this printer compares to all the others.  It looked to me like it was right up there in the top 3 of its class in all the various categories.  The wireless feature is so great!I don't like that you have to sign up for a snapfish account in order to use the email printing feature but it really isn't that big of a problem... one more dang password to remember.It's not the smallest in it's class, but it makes up for it's bulk with shear performance and ink conservation.",
37,XX,B005O55U2Y,1,0,0,28-Jan-14,A3L7VM476R4XNN,Great concept low quality,"Looks great and read the online reviews but printing graphic documents like shown in the sample image, come out faded and streaky. Currently too busy to to try to find out if its defective or if they sent bad ink or just the product quality in general since the point of getting it was to save time. Regretting not getting the Canon now.",
38,XX,B005O55U2Y,5,1,1,28-Jan-14,A2OIUHUJPGA8C2,Great AiO printer. WiFi/AirPrint huge plus.,"Easy setup. Connects to house WiFi so we can print from iPads, smartphones, and laptop without having to wire-connect. Large paper drawer and 2-sided printing are a plus. Has some other web features that we haven't explored/used.",
39,XX,B005O55U2Y,4,0,0,27-Jan-14,A2A8BUCLYI6JLO,Excellent printer.,"Nice unit for the price point.Owned one before that I wore out.  Great copies, double sided.  Can buy extra large ink cartridges. Wi-fi works flawlessly.Ken in Albemarle, NC",
40,XX,B005O55U2Y,4,0,2,26-Jan-14,A3SIA3GRLAEV45,The machine works fine but the FEDEX delivery was terrible,"I kept looking for a delivery date which didnt show until after it was delivered. FEDEX left it on the front porch (we dont use) which is open it must have been there for three days in the rain. The outer box was soaked, lucky the inside box was not soaked. I do have a sign on the front door to deliver to the rear door.",
41,XX,B005O55U2Y,1,8,8,22-Jan-14,A3I9M26ZVKT335,It's a complicated bipolar printer,"Before buying this printer, take a look to see how old some of the positive reviews are. Then google 'HP Officejet Pro 8600 won't print or scan' and you'll see a tragically long list of results. Then check out the forums with people begging for help with all sorts of advice on doing a hard restart on the modem, fiddling with printer spool resets, links to the print and scan doctor, etc. No easy answers, just links to other pages with more instructions on what you might try.So if you enjoy troubleshooting, plan to put the printer on a big lazy susan (to continually turn it around to pull off the back accessory to pull out crunched paper), don't mind wasting a monumental amount of paper and have a really high threshold for frustration - this is the 'all-in-one' printer for you!Sometimes it will print from your iPad, sometimes it won't. Sometimes it will only work with your computer. Just give yourself a couple of hours to read up on how to potentially troubleshoot the problem or simply enjoy some quiet time while on hold waiting for tech support to answer. However, if you have a Mac, please note that 24/7 support is ONLY available for Windows users. Mac users should schedule all printing problems for 'free' phone support during business hours, Monday-Friday.And if that weren't enough to tempt you, the touchpad control panel was apparently developed with technology from 2004. It's so retro. Since it hardly works, you can instead toggle through each number to get to the right letter to connect to your modem. It'll make you so nostalgic for your old flip phone. And probably for your old printer too.",
42,XX,B005O55U2Y,5,1,2,21-Jan-14,A1YSM7LIPIYDSP,Great Printer,"I ove the wireless feature.  Works with Apple laptop, Desktop, iPad and iPhones.  Very easy to set up and use. Prints and scans very fast. Huge upgrade",
43,XX,B005O55U2Y,4,0,0,20-Jan-14,A3C4TNPDQXC48S,Excellent printer but paper difficult to load,Little more than I needed here.  I haven't and probably won't hook up the FAX.  Only complaint is that the paper is somewhat difficult to load and printer is overly fussy about how it's loaded.,
44,XX,B005O55U2Y,5,1,2,20-Jan-14,AR7OGPV5412U6,Feature-rich printer. 2 thumbs up!,"First of all, let me say that the only thing that would lower my rating is if I experience the ink consummation issues others have reported. I've only had the printer a couple of days, so, I don't have a feel for that aspect yet.Out-of-the-box, the printer was very simple to set up.  Within minutes, I was printing wirelessly from my Samsung tablet (using HP's eprint app). A few minutes later, and I was able to print using HP's web services, by simply emailing an attachment to the address established and tied to my printer. Very cool.",
45,XX,B005O55U2Y,5,2,2,20-Jan-14,A1RL0AMW0ZU1U,A review from a long time All-In-One user,"I have been a home office worker for several years.  I used the 7600 Series printer for 6 years of hard daily use and it did an excellent job with a few quirks.  It is quite clear that HP was paying attention, because those quirks are gone in the 8600 Series.  Specifically, document feeding is flawless, the paper tray has been completely redesigned and a much needed wireless feature has been added.  For the price I purchased this for on Amazon, it is a great value.If you're new to the HP All-In-One printers, they represent a nearly maintenance free printer that will give you years of great service in all the functions - printer, flat bed and sheet fed scanner, fax - they perform.  If you are a home office worker with limited tech support options, this multi-function device is an ideal choice.",
46,XX,B005O55U2Y,2,2,3,17-Jan-14,A3JRBZUUWAKXC7,DOES NOT AUTOMATICALLY DUPLEX LEGAL SIZE PAPER,"The printer itself works fairly well. My issue with it is that, despite what they would lead you to believe based on the description, the duplexer physically does not support any paper size bigger than 8.5x11. Once I began investigating, I found numerous entries on the HP support site stating this to be the case. One example is here: [...]This is tragic as I purchased the printer specifically for auto-duplexing legal pages and this makes it useless for me. Learn from my mistake and if you need legal paper duplexing do not buy this printer.",
47,XX,B005O55U2Y,5,1,2,16-Jan-14,AEU0GUTZT1E0C,"2 months,  WORKS FOR ME !","I expected problems installing, but I had none..I called H P and they talked me through it....The &#34;wireless&#34; thing is tricky...numbers, codes, passwords....It's quite bulky and it kind of shakes the computer cart I have it on but it's quiet and prints well.  I print from different programs, sometimes facebook and always have good results.I plan to test other paper next month and will update",
48,XX,B005O55U2Y,5,1,2,16-Jan-14,A2W5CZIGO114O,Great Machine,I recently purchased the Pro 8600 Plus e machine after careful research of competing machines.  Set up was easy and the machine is performing as expected.  I highly recommend this machine to anyone with a small business.  The duplex faxing capabilities are great for sending double-sided forms.,
49,XX,B005O55U2Y,3,1,2,16-Jan-14,A3VL4YP43RVCCV,Same oh,"I've been using HP AIO's since they first came out, sticking with the devil I know mentality.  We bought this for our IPad/IPhones since the old 8500 wouldn't work with them.I encountered a MAJOR problem in set up.  I could not download the software/drivers.  I'm docking two stars for this.  That's the bad news.  The good news is HP tech support is fantastic. I called them and they just took over my computer and fixed it.  They said there was a compatibility issue between my ATT u/verse router and the printer.  It took two hours on the phone which is ridiculous, but half that was just waiting on the downloads so I didn't have stay around the whole time.One could probably argue whether it was an HP problem or an ATT problem.  Either way they fixed it.As far as setting up the &#34;I's&#34; for printing, there was no set up.  They take a few seconds to find the printer, and you're printing, super simple.",
50,XX,B005O55U2Y,5,1,2,14-Jan-14,A249O9268XG669,Great home office printer,I just upgraded from the model prior to this.  It does great on ink and isn't loud and is a workhorse.No issues at all and I use it networked and can print from any apple device.,
52,XX,B005O55U2Y,5,0,0,9-Jan-14,A28JSEQRQAZVUE,HP,"Thank you HP, I have used HP printers for sometime, but was excited to get this wireless all-in-one. It is everything I expected and more. I use my IPhone and IPad, so the wireless printing is wonderful. My copies are as good as the original, the fax works great, once I figured out which way to put the paper.I actually was able to install and get everything set up myself. So thanks again for another GREAT PRODUCT!EPH",
53,XX,B005O55U2Y,5,4,4,9-Jan-14,A1ZPEYBRJMUDZQ,The best printer I have owned,"I have owned and thrown away five inkjet printers, including an Officejet, in the last 13 years. Some lasting two years some a little longer. Versions touting as photo printers never delivered truly crisp results. Ink cartridge volumes always left me wanting. Two sided printing required manual flipping without auto feeds for the scanner.I decided to take the jump up to the Officejet for what I hoped was better print quality, more features and much better durablity. Not wanting to shell out the cash for a laserjet, I had high hopes. I have  had this printer for almost two years and decided to write this review because of my experience with it.One word- excellent!Print quality is as good as a laser printer. Colors are vibrant and crisp. Graphics and pictures look like they came from the print shop. And it prints soooo fast! The volume of ink in the cartridges provides loads of prints. The XL cartridges give even more prints. Automatic two-sided prints are a snap and the auto feed does two-sided scanning like a champ.I haven't mentioned the wireless printing and scanning ability. This is the first wireless printer that has delivered flawlessly the whole time. I have to admit that I haven't even touched any of the apps built in to the touch screen (which I love), but I may.This next comment is not HP approved but unlike in the past printers, when using non-oem cartridges they sometimes didn't like them and wouldn't work. But after market ones have been working, just recognize that HP will void the warranty when thier products are not used and the ink level feature doesn't work. But the value of remanufactured cartridges makes it very palatable for me. Two XL black for $15, and I just bought a package with two black XL and a set of XL colors for $24.If you are looking for the best printer for the money, this is it. Now its even less expensive than when I bought it on sale. Considering the longevity I am getting I think this has years to go yet.",
54,XX,B005O55U2Y,1,4,6,8-Jan-14,A3ZWT79NCQL9F,Short-lived,"It was pretty nice while it lasted (approx. I year).  When I needed to replace the included &#34;setup cartridges&#34; after about a year, I spent over $100 on new (genuine, directly from HP) cartridges.  When I installed the new cartridges, the printer would not function.  I was told by HP support the print head was &#34;bad&#34;, and that the only solution was to replace the printer.",
55,XX,B005O55U2Y,5,2,3,8-Jan-14,ATGKFWLWFWVXP,Best Inkjet I Have Ever Owned,"I had a really nice color laser all in one but upgraded to a Mac computer and they didn't get along.  So a shopping I went.  I did all kinds of research and looked at everything laser, inkjet, and many brands.  I decided between this and an Epson.  I went to an office chain and asked what they recommend and this is what they told me to get.I couldn't be happier with this printer!  If you are thinking about a laser because of the cost of printing being cheaper that isn't true with this printer.  The cost per page is the same as a laser, in fact it is cheaper than the color laser all in one I had.  The ink cartridges also don't dry out like they used to.  These cartridges are good for years.  I am amazed at how many pages have been printed on the setup cartridges.  I have had this since September, it is now January and I haven't replaced any cartridges yet.  I have printed a ream and a half worth of pages.  I can't wait to see how long the XL cartridges will last.It was easy to setup on both my Mac, iPad, and PC.  All of the devices installed in seconds!  One thing that really impressed me is that it automatically installs itself on Windows 8.  Print, scan, and copy quality are really good.  It is super fast at printing too.  It is nice and simple to use especially with the touch screen.  I like the duplex printing, copying, and scanning.  Trying to find a duplex scanning printer is a hard task.",
56,XX,B005O55U2Y,4,0,0,7-Jan-14,A2S3DQ0BL6KSM1,Easy setup and printing.,"Printing works great. Quick and easy setup and decent quality printing. Tried copying a colored page today using copy feature. After a half dozen color and black and white attempts to copy, I decided to just print from the file and got a good page.  The copies were crap.",
57,XX,B005O55U2Y,5,0,0,6-Jan-14,ABBTH7ISL2O5V,Love it,I had one of these printers for work and loved it so much bought one for home.  Great printer.  Would totally recommend.,
58,XX,B005O55U2Y,1,15,16,5-Jan-14,A15WLRK975HU6G,Former HP R&D Director now an Epson customer,"I'm a retired Inkjet HP R&D Director. My teams developed many ink cartridges over the years. I'm proud of the underlying inkjet technology and believe that it's superior to competitor products. However, my last two All-in-One printers have failed just beyond the warranty period. The touch screen display of my 8600 failed after 15 months. It's an easy replacement - just seven screws but the replacement part is not available. My OfficeJet Pro 7600 needed a new scanner feed paper pick roller. Clearly a user replaceable part but also not available. Support told me to reboot the printer for a clearly mechanical problem - the tackiness of a roller.Like most individuals these days I print only a small amount so overall cost-per-page, where HP excels, is less important in the buying decision. Reliability is number one. HP has cheapened the designs over the years to where reliability has been compromised. Out of warranty support is nonexistent and replacement parts are not available to those of us who are handy. The bottom line is that I have sworn off HP and replaced my failed 8600 with an Epson WF-3540. It's half the price of the 8600 if you can find it on sale and it has good reliability reviews. It has twice the cost per page of the HP but if the Epson reliability is good they will earn the profits from future ink sales. HP - please note that I retired without a buyout so I'm free to speak my mind.",
59,XX,B005O55U2Y,3,1,2,4-Jan-14,A35B3GV8SBATHD,Clunky machine,"Photo paper would not feed, after a long tech support call with HP, they sent a replacement. After another long support call it works but it sounds clunky. When the carriage moves it bumps and thumps.  I guess we'll keep it but whenever I print I am annoyed at the sound.",
60,XX,B005O55U2Y,4,1,2,4-Jan-14,AR6OAA8VOCNSM,Home Office HP Printer,"Although it uses ink like it is not on a diet, it is a very good addtion to my home office.  I would recommend it to anyone looking for a fast, easy to set up home printer.",
61,XX,B005O55U2Y,5,0,0,1-Jan-14,A35AA8V0PLR7DP,Neat features!,"To be able to print from anywhere, just by emailing a document to my printer (it has it's own email address) is a great feature.",
